settlement_id,settlement_name,ward_code,ward_name,lga_name,gps_visit_status,gps_confidence_status,etally_report_status,etally_row_count,reported_doses_all_linked,reported_doses_plausible_only,dose_quality_flag,reconciliation_class,discrepancy_flag,explanatory_notes,created_at
D01765,Okshawo,W027,Daberi,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01777,Zashaba,W027,Daberi,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01839,Gutsile,W028,Wangoja,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01905,Okbeta,W029,Wangoni,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01917,Haraja-Kudu,W029,Wangoni,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01994,Agbaba,W031,Satide,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02009,Yeladu,W031,Satide,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02192,Gunari,W034,Dodeta,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02236,Agmata,W035,Dazata,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02268,Kanako-Gabas,W035,Dazata,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02456,Wazawo,W039,Nungoni-Arewa,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02466,Tadeko,W039,Nungoni-Arewa,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02468,Umbetu-Sabo,W039,Nungoni-Arewa,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D02521,Tamama,W040,Gujiri,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00001,Surawa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,109.0,109.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00002,Haduni,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,542.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00003,Watiru,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,40.0,40.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00004,Dosari,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00005,Wabade,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,40.0,40.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00006,Bishaja-Gabas,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,65.0,65.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00007,Uzduma,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,235.0,235.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00008,Danashi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,420.0,420.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00009,Uzrita,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00010,Enjiru,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,334.0,334.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00011,Kushatu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,26.0,26.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00012,Ekrari,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,40.0,40.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00013,Rizadu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,157.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00014,Zasafa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,227.0,227.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00015,Binako,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,33.0,33.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00016,Umzashi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,192.0,192.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00017,Biriyi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,394.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00018,Oltiko,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,71.0,71.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00019,Fasatu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,6.0,6.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00020,Guwami-Yamma,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,1239.0,1239.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00021,Okmata-Sabo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,177.0,177.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00022,Jimawa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,58.0,58.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00023,Ibdutu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,102.0,102.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00024,Mashashi,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00025,Wamade,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,73.0,73.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00026,Dabedu,W001,Ekngoyi,Idi-Oro,ambiguous,ambiguous,reported,1,22.0,0.0,True,GPS ambiguous / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00027,Riwayi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,87.0,87.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00028,Yerifa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,90.0,90.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00029,Kangofa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,44.0,44.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00030,Suriru,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,13.0,13.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00031,Wamako,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,178.0,178.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00032,Okmaba,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,62.0,62.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00033,Irlatu-Gabas,W001,Ekngoyi,Idi-Oro,visited,high,reported,1,23.0,23.0,False,GPS visited / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00034,Jitifa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,12.0,12.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00035,Makole-Arewa,W001,Ekngoyi,Idi-Oro,ambiguous,ambiguous,reported,1,115.0,115.0,False,GPS ambiguous / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00036,Ridewo-Gabas,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,66.0,66.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00037,Adtsitu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,255.0,255.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00038,Umsayi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,152.0,152.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00039,Jideni,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00040,Sazafa,W001,EKNGOYI,Idi-Oro,unvisited,review,reported,1,97.0,97.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00041,Lodule,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,80.0,80.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00042,Damako,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00043,Taritu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,149.0,149.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00044,Ensama,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,49.0,49.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00045,Uzbena,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00046,Kasama-Tudun,W001,Ekngoyi,Idi-Oro,visited,high,reported,1,22.0,22.0,False,GPS visited / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00047,Dorita,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,94.0,94.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00048,Taduri,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,90.0,90.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00049,Kadudu,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00050,Irluko,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,159.0,159.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00051,Kulama,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,79.0,79.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00052,Tasama,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,77.0,77.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00053,Hatsiwo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,121.0,121.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00054,Loshaja,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,123.0,123.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00055,Ibmaja,W001, Ekngoyi ,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00056,Ibrawo,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00057,Nuwani,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,240.0,240.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00058,Umratu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,163.0,163.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00059,Agwako,W001,Ekngoyi,Idi-Oro,ambiguous,ambiguous,reported,1,40.0,40.0,False,GPS ambiguous / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00060,Fanaja,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00061,Zawatu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,9.0,9.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00062,Irsadu-Sabo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,21.0,21.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00063,Ringowa,W001,EKNGOYI,Idi-Oro,ambiguous,ambiguous,reported,1,98.0,98.0,False,GPS ambiguous / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00064,Okwadu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,142.0,142.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00065,Danasa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,24.0,24.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00066,Tararu-Gabas,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,231.0,231.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00067,Sayowa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,22.0,22.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00068,Adrija-Sabo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,99.0,99.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00069,Zakole-Arewa,W001,Ekngoyi,Idi-Oro,visited,high,reported,1,380.0,380.0,False,GPS visited / e-tally reported,False,,2026-07-31 19:30:19.408706+00:00
S00070,Gungoshi,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,31.0,31.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00071,Sutiwo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,107.0,107.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00072,Irzatu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,400.0,400.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00073,Riyoma-Gabas,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,204.0,204.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00074,Guluna,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,42.0,42.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00075,Fashale-Kofar,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00076,Tarani,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,270.0,270.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00077,Dajisa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,114.0,114.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00078,Lolale,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00079,Warana,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,8.0,8.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00080,Adnade-Kofar,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,98.0,98.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00081,Haluyi,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00082,Kaladu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,62.0,62.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00083,Nuwaja,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,148.0,148.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00084,Faluni,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,59.0,59.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00085,Adbeta,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00086,Ollale,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,315.0,315.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00087,Hadema,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,45.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00088,Ekrafa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,1015.0,1015.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00089,Jiduja,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,59.0,59.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00090,Irdema,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,27.0,27.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00091,Saluru,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,20.0,20.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00092,Agtsiko-Gabas,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00093,Lobaba,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,172.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00094,Fakoshi,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00095,Kashako,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00096,Okkotu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,831.0,831.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00097,Agbawo,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,402.0,402.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00098,Halusa,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00099,Ribeni,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00100,Mashasa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,61.0,61.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00101,Suludu-Arewa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,472.0,472.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00102,Irduri,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,39.0,0.0,True,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00103,Tashade-Kudu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,42.0,42.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00104,Dotina,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,68.0,68.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00105,Kaluja,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,319.0,319.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00106,Adbaru,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,41.0,41.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00107,Wawatu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,366.0,366.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00108,Guludu,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,56.0,56.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00109,Numawa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,18.0,18.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00110,Ekyosa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,35.0,35.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00111,Biduja-Sabo,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
S00112,Ibshade,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,91.0,91.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00113,Enyowa,W001,Ekngoyi,Idi-Oro,unvisited,review,reported,1,217.0,217.0,False,GPS unvisited / e-tally reported,True,,2026-07-31 19:30:19.408706+00:00
S00114,Gubade-Tsakiya,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
