settlement_id,gps_visit_status,missed_indicator,x_32632,y_32632,analysis_scenario,weights_specification,neighbour_count,local_moran_i,quadrant,raw_permutation_p_value,fdr_adjusted_p_value,raw_significant,fdr_adjusted_significant,spatial_lag,local_cluster_raw,local_cluster_fdr
D02456,unvisited,1,417433.97083670594,1199633.4111173966,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.657,0.9228411005053341,False,False,1.0,Not significant,Not significant
D02466,unvisited,1,421144.6629437284,1198494.7407531247,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.985,0.994835294117647,False,False,0.875,Not significant,Not significant
D02521,unvisited,1,432439.08022682247,1239350.8295707658,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.656,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00001,unvisited,1,299793.4544841796,1235822.797079324,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.99,0.994835294117647,False,False,0.875,Not significant,Not significant
S00002,unvisited,1,298061.82517327927,1234247.487833377,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.99,0.994835294117647,False,False,0.875,Not significant,Not significant
S00003,unvisited,1,288526.02447838825,1218778.2508378404,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.652,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00004,unvisited,1,299140.06697791594,1226987.8375862967,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.659,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00005,unvisited,1,292082.43944703566,1217720.5092241308,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.681,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00006,unvisited,1,294012.0999274058,1222832.3061328267,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448023,4,0.218,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00007,unvisited,1,302672.712551815,1234454.1977746026,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.116,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00008,unvisited,1,299211.4706892957,1231922.2071719503,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.178,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00009,unvisited,1,297566.1090698113,1235541.1980855095,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00010,unvisited,1,284495.3531166985,1225716.7914123412,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.653,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00012,unvisited,1,285707.96856909967,1218199.2527638294,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00013,unvisited,1,285759.2068449565,1218663.2559254386,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00014,unvisited,1,297716.2371287225,1239445.2759701393,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.639,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00015,unvisited,1,292773.5707248795,1235593.4015593797,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.648,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00016,unvisited,1,297496.9513734725,1217356.26239361,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.159,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00017,visited,0,303575.50481046306,1234120.4680841847,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.39119084331865944,3,0.082,0.9228411005053341,False,False,0.875,Not significant,Not significant
S00018,unvisited,1,303171.82305432495,1227547.7288557955,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.666,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00019,unvisited,1,284452.8309269132,1221118.2281744685,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00020,unvisited,1,288772.9717680977,1237569.830075305,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.655,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00021,unvisited,1,294348.4844617981,1225328.233135434,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.992,0.994835294117647,False,False,0.875,Not significant,Not significant
S00022,unvisited,1,285426.17158942285,1217546.3541173479,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.988,0.994835294117647,False,False,0.875,Not significant,Not significant
S00023,unvisited,1,291921.2065165686,1222716.134174133,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.679,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00024,unvisited,1,298023.7659136014,1221675.0500600783,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.131,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00025,visited,0,286095.51487384865,1211562.3618739797,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.3911908433186596,3,0.066,0.9228411005053341,False,False,0.875,Not significant,Not significant
S00026,visited,0,300021.4250105778,1234587.4328062488,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.054,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00027,unvisited,1,284817.8415012072,1226378.8110160118,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.658,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00028,visited,0,297601.40847920766,1221114.8953231652,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.39119084331865944,3,0.091,0.9228411005053341,False,False,0.875,Not significant,Not significant
S00029,unvisited,1,286773.5433322146,1219387.8225168188,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.646,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00030,unvisited,1,289244.29604291817,1219925.4268365935,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.663,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00032,visited,0,286968.8494274623,1222923.116166438,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.062,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00033,unvisited,1,298044.0914955305,1222063.5631742927,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.129,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00034,unvisited,1,289382.74421212124,1212838.5734228608,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.785,0.9657416709379806,False,False,0.875,Not significant,Not significant
S00036,unvisited,1,286193.9200676512,1224842.9608094792,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.673,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00037,visited,0,288063.7990909932,1215718.6612496916,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.049,0.9228411005053341,True,False,1.0,Low-High outlier,Not significant
S00038,unvisited,1,285972.969804717,1219577.8107870205,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00039,unvisited,1,299492.60477514897,1219547.8076204974,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448023,4,0.241,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00040,unvisited,1,284118.49275453994,1223067.5365576262,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.673,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00041,unvisited,1,288037.9416084991,1217045.7754436233,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00042,unvisited,1,291083.04240892956,1231819.5210712606,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00043,unvisited,1,300313.5800893776,1233888.1141545922,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00045,unvisited,1,288499.9478543204,1226138.2619794444,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.776,0.9656091003102378,False,False,0.875,Not significant,Not significant
S00046,visited,0,287616.72077206604,1227366.5345134914,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.057,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00047,unvisited,1,290286.639772266,1231458.027856908,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00048,unvisited,1,285668.00399754674,1221874.3976622322,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.788,0.9657416709379806,False,False,0.875,Not significant,Not significant
S00049,unvisited,1,287173.99671882176,1228274.0974228978,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00050,unvisited,1,305538.513879486,1230882.8750040706,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448023,4,0.217,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00052,unvisited,1,300264.90730219753,1230957.430711637,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.177,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00054,unvisited,1,290085.2548776586,1225622.7315759086,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00055,unvisited,1,301493.91219965694,1230909.8316845202,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.984,0.994835294117647,False,False,0.875,Not significant,Not significant
S00056,unvisited,1,285423.0487198284,1220621.1709288773,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00057,unvisited,1,301404.223657678,1234186.506567582,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.122,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00058,unvisited,1,290188.12585767405,1221876.5719374956,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00059,visited,0,289044.2160950164,1212468.4608159005,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.049,0.9228411005053341,True,False,1.0,Low-High outlier,Not significant
S00060,unvisited,1,298138.87812601926,1221592.473109,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.119,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00061,unvisited,1,285179.4834751569,1227427.9122423993,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.663,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00062,unvisited,1,285388.72342839814,1224094.1582459274,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.787,0.9657416709379806,False,False,0.875,Not significant,Not significant
S00063,visited,0,300562.58044976916,1221683.453242284,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.3911908433186596,3,0.061,0.9228411005053341,False,False,0.875,Not significant,Not significant
S00064,visited,0,285616.0435386688,1211096.3851390926,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.3911908433186596,3,0.069,0.9228411005053341,False,False,0.875,Not significant,Not significant
S00065,unvisited,1,299654.19579441746,1234822.028326162,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00066,unvisited,1,286421.9762077825,1227404.788005366,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.986,0.994835294117647,False,False,0.875,Not significant,Not significant
S00067,unvisited,1,287454.29651261464,1219007.3458841222,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.639,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00068,unvisited,1,285071.9518375576,1229507.0478404746,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00069,visited,0,284178.0985272104,1219053.1239789657,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.999580184718724,2,0.061,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00070,unvisited,1,304264.23743932927,1230811.780982417,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.988,0.994835294117647,False,False,0.875,Not significant,Not significant
S00071,unvisited,1,300892.50216525316,1227511.6105758657,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.652,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00072,unvisited,1,285248.4661178929,1226290.9964679675,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.648,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00073,unvisited,1,283422.07450379163,1217038.3254758727,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.988,0.994835294117647,False,False,0.875,Not significant,Not significant
S00075,unvisited,1,290302.21396741713,1216826.8761118327,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.99,0.994835294117647,False,False,0.875,Not significant,Not significant
S00076,unvisited,1,285907.1178654141,1212852.154646413,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.1758947603644802,4,0.233,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00077,unvisited,1,286347.46230484406,1227057.1061369951,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.984,0.994835294117647,False,False,0.875,Not significant,Not significant
S00078,unvisited,1,286673.7375971903,1218697.7771049635,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.664,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00080,unvisited,1,304182.3968705046,1231821.8477428677,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.185,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00081,unvisited,1,294078.00758083793,1219817.1949807587,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.983,0.994835294117647,False,False,0.875,Not significant,Not significant
S00082,unvisited,1,284133.13702955504,1220868.860922283,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.985,0.994835294117647,False,False,0.875,Not significant,Not significant
S00083,unvisited,1,293175.9439866974,1214435.476419585,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.987,0.994835294117647,False,False,0.875,Not significant,Not significant
S00084,unvisited,1,304868.44386783865,1229931.5409928332,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.989,0.994835294117647,False,False,0.875,Not significant,Not significant
S00085,unvisited,1,286840.2461616599,1224849.235107698,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.758,0.9656091003102378,False,False,0.875,Not significant,Not significant
S00086,unvisited,1,287118.86854414054,1223588.0507101084,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.78,0.9656091003102378,False,False,0.875,Not significant,Not significant
S00087,unvisited,1,309186.8319909281,1220869.403248366,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.984,0.994835294117647,False,False,0.875,Not significant,Not significant
S00089,unvisited,1,295979.25642123923,1218081.6694660855,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.782,0.9656091003102378,False,False,0.875,Not significant,Not significant
S00090,unvisited,1,285754.2259494369,1220806.5265389436,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.677,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00091,unvisited,1,294299.9296005142,1218835.3889526227,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.985,0.994835294117647,False,False,0.875,Not significant,Not significant
S00092,unvisited,1,298924.86604972125,1226872.6758697163,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.657,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00093,unvisited,1,296455.98873251973,1237231.2030850751,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.665,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00094,unvisited,1,286968.17819867196,1212834.535995054,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.31317566442352085,4,0.121,0.9228411005053341,False,False,0.625,Not significant,Not significant
S00095,unvisited,1,283938.4322732857,1217765.6748240835,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.038613856305439634,4,0.988,0.994835294117647,False,False,0.875,Not significant,Not significant
S00096,unvisited,1,286922.81824694714,1222518.159421731,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.781,0.9656091003102378,False,False,0.875,Not significant,Not significant
S00097,unvisited,1,287441.8226938213,1213166.8055556025,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448023,4,0.243,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00098,unvisited,1,301072.90491975413,1231575.8475382302,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.173,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00099,unvisited,1,287897.5528883942,1212027.3199428017,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448023,4,0.237,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00100,unvisited,1,288167.3938812957,1212559.1700011168,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.789,0.9657416709379806,False,False,0.875,Not significant,Not significant
S00101,unvisited,1,299361.22669205285,1218280.0441208682,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.17589476036448026,4,0.168,0.9228411005053341,False,False,0.75,Not significant,Not significant
S00102,unvisited,1,284406.3436106555,1225213.2076405126,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.664,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00103,unvisited,1,297382.3031447817,1237877.6435049118,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.098667047753601,1,0.665,0.9228411005053341,False,False,1.0,Not significant,Not significant
S00104,unvisited,1,288809.6685268481,1212953.765439139,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.03861385630543965,4,0.781,0.9656091003102378,False,False,0.875,Not significant,Not significant
