name,label,settlement_type,ward_code,ward_name,lga_code,lga_name,state_code,state_name,longitude,latitude,target_population_under5
S01336,Jikotu-Kudu,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.576189,10.639359,17.0
S01335,Jiritu,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.551268,10.658229,13.0
S01352,Kangoko,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.616855,10.607705,84.0
S01332,Kubema,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.616149,10.630063,18.0
S01360,Kukota-Yamma,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.628362,10.621635,17.0
S01339,Kuwawo,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.56093,10.639211,26.0
S01346,Lowama-Gabas,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.546868,10.651861,42.0
S01323,Majita,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.64294,10.654858,82.0
S01366,Mangona,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.629454,10.624492,17.0
S01370,Marawo,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.651142,10.732271,19.0
S01365,Nubeshi,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.555263,10.634593,3.0
S01333,Nudude,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.622413,10.614591,146.0
S01345,Nuwawa,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.548567,10.655576,23.0
S01359,Nuyotu-Gabas,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.687864,10.614873,21.0
S01357,Olmafa-Tsakiya,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.631306,10.625603,8.0
S01356,Risawa-Gabas,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.62464,10.628587,29.0
S01334,Tariba,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.551169,10.747542,20.0
S01351,Tatsiru,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.567866,10.64673,9.0
S01322,Umluri,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.555808,10.633317,14.0
S01328,Ummale,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.571588,10.725953,22.0
S01369,Umriba,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.623148,10.62114,80.0
S01368,Wajitu-Arewa,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.564318,10.645325,38.0
S01342,Yebafa,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.614076,10.62731,34.0
S01355,Zanawa,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.638907,10.626288,22.0
S01331,Zawaru,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.580822,10.645371,58.0
S00938,Bijiru,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.429997,10.468265,91.0
S00941,Doyoru,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.327903,10.495844,61.0
S00949,Ennale,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.365524,10.511387,15.0
S00930,Enngoni-Yamma,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.330937,10.547169,31.0
S00935,Ensawo,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.344431,10.550346,81.0
S00932,Habatu,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.328668,10.519834,12.0
S00944,Haluta,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.31043,10.516305,22.0
S00952,Ibdushi,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.321847,10.520494,43.0
S00946,Ibmawa,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.33522,10.533201,167.0
S00929,Jikoko,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.324705,10.497805,85.0
S00940,Kabafa-Yamma,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.332454,10.492404,45.0
S00948,Kamasa,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.33167,10.500264,54.0
S00927,Kujifa,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.456489,10.467199,173.0
S00934,Kurisa,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.325045,10.50209,41.0
S00943,Kuriwo,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.400692,10.452861,9.0
S00942,Kushaba,Settlement,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.342749,10.500771,51.0
S00947,Mazana,Settlement,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.391207,10.491406,60.0
S00936,Nuderi,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.432699,10.471632,20.0
S00939,Okngori,Settlement,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.344232,10.502982,58.0
S00931,Rijidu,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.334347,10.527604,38.0
S00928,Satside,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.328255,10.527786,87.0
S00926,Sungodu,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.324586,10.514205,115.0
S00933,Tawako,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.458745,10.454442,150.0
S00937,Umsale,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.316596,10.526595,115.0
S00945,Umtiwo,Village,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.423669,10.452464,146.0
S00951,Wamama,Settlement,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.325056,10.50828,57.0
S00950,Zakota,Hamlet,W012,Darari,LGA02,Gwarin,BAN,Bansara,7.330579,10.560816,16.0
S00881,Adyowo,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.748297,10.393517,54.0
S00895,Aglayi,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.701337,10.416512,18.0
S00888,Bibafa,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.723452,10.390444,54.0
S00882,Bimaba-Kofar,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.718791,10.420122,57.0
S00887,Biwaba,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.602156,10.430614,20.0
S00910,Bizatu,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.611556,10.413685,81.0
S00901,Dayoni-Kudu,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.70901,10.476095,11.0
S00875,Dazaba,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.564069,10.400804,30.0
S00914,Doshawo,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.726696,10.409491,7.0
S00912,Endefa,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.608332,10.429624,10.0
S00900,Enjiwa,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.641796,10.404567,34.0
S00879,Enluwa,Urban block,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.593484,10.372532,303.0
S00906,Ennashi,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.698152,10.418491,34.0
S00890,Entina,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.566494,10.423747,27.0
S00918,Enwade,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.704543,10.488818,10.0
S00908,Falami,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.589722,10.421465,23.0
S00880,Farani,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.669437,10.470584,96.0
S00920,Farasa,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.726038,10.402832,4.0
S00872,Fayowo,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.746926,10.415517,61.0
S00874,Guderu,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.744771,10.410851,119.0
S00905,Gurawa,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.611107,10.389166,66.0
S00915,Gurija,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.717925,10.487689,30.0
S00876,Guzafa,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.590057,10.427558,6.0
S00903,Halaru,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.736398,10.465126,12.0
S00897,Ibdeta,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.651173,10.427962,79.0
S00873,Ibsharu,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.715605,10.479963,28.0
S00925,Ibtsiwa,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.594387,10.429899,29.0
S00907,Jibari,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.73577,10.405734,39.0
S00922,Jideri,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.697589,10.42103,131.0
S00899,Jinani,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.705002,10.412266,27.0
S00911,Kuride,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.713231,10.494124,28.0
S00896,Kuyoko,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.676509,10.365949,110.0
S00886,Lodeja,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.558284,10.418976,47.0
S00894,Lolade,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.597463,10.421999,96.0
S00891,Lowatu,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.572435,10.399481,50.0
S00923,Nulako,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.742756,10.470769,118.0
S00913,Nuradu,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.67595,10.434364,43.0
S00924,Oktina,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.718606,10.416917,32.0
S00889,Oktsini,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.61746,10.424557,13.0
S00892,Olbeba,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.707046,10.402524,30.0
S00921,Olbemi-Kudu,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.605649,10.441808,14.0
S00917,Olmami,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.584431,10.4183,86.0
S00884,Ribawa,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.585462,10.416432,12.0
S00885,Riduko,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.702719,10.435202,45.0
S00883,Ritsiba,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.594728,10.406755,12.0
S00904,Sadedu,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.754875,10.423017,4.0
S00898,Saduri-Gabas,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.585269,10.405774,74.0
S00893,Sashaba,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.730796,10.471925,47.0
S00916,Suzayi,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.740238,10.418368,7.0
S00902,Talawo,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.727136,10.416396,41.0
S00877,Umlawo,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.717825,10.461099,37.0
S00878,Wazami,Hamlet,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.716025,10.405903,10.0
S00909,Zabale,Settlement,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.739704,10.415343,60.0
S00919,Zalasa,Village,W011,Enyoko-Kofar,LGA02,Gwarin,BAN,Bansara,7.596503,10.390223,50.0
S00864,Agngoja,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.39779,10.846164,40.0
S00857,Baludu-Gabas,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.420379,10.880013,24.0
S00843,Bibeyi,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.411834,10.868903,130.0
S00866,Bilade,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.429669,10.804972,20.0
S00837,Biyomi,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.486305,10.798827,15.0
S00840,Dajile,Urban block,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.399693,10.877864,193.0
S00853,Dobesa,Urban block,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.430531,10.753206,564.0
S00862,Dolari,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.401015,10.851367,96.0
S00831,Enluru,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.427306,10.789788,46.0
S00855,Entima-Sabo,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.438405,10.803289,3.0
S00847,Fariwa-Tsakiya,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.423915,10.906693,115.0
S00856,Gudeja,Settlement,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.446851,10.883179,6.0
S00839,Guluma,Settlement,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.412295,10.900244,79.0
S00867,Hamasa-Tudun,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.437001,10.775644,7.0
S00868,Ibbawo,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.474973,10.775624,11.0
S00826,Ibyofa,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.378752,10.823223,64.0
S00850,Irmana-Sabo,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.398123,10.782524,50.0
S00858,Jiyole-Yamma,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.478745,10.808104,60.0
S00833,Kasani,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.422949,10.901691,23.0
S00829,Kutsiwo,Settlement,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.437029,10.845626,39.0
S00848,Lodewa,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.419587,10.816779,
S00836,Madeko,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.382724,10.829599,9.0
S00851,Okbami,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.420985,10.901499,32.0
S00841,Okkoni,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.411649,10.898791,119.0
S00860,Okmami,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.413318,10.895467,92.0
S00846,Okshata,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.413858,10.805366,15.0
S00861,Okwaba,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.444357,10.757621,26.0
S00870,Okyosa,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.380508,10.794054,22.0
S00828,Okzade,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.434969,10.803039,59.0
S00849,Ribefa,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.433887,10.762987,75.0
S00863,Sarawo,Settlement,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.457031,10.859359,18.0
S00832,Satsisa-Tudun,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.427542,10.801947,62.0
S00869,Sulushi,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.427856,10.776318,137.0
S00852,Susaba-Kofar,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.446788,10.841926,20.0
S00834,Susayi,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.42613,10.866783,22.0
S00854,Tasana,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.454886,10.791091,35.0
S00865,Tashade-Gabas,Urban block,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.422466,10.879757,284.0
S00845,Tawawo,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.427355,10.811604,3.0
S00830,Tazari,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.429312,10.776243,93.0
S00844,Umnani,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.426301,10.789741,45.0
S00859,Waludu-Kofar,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.421574,10.883788,41.0
S00827,Watishi,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.437057,10.773073,102.0
S00838,Yewami,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.422735,10.766297,45.0
S00835,Zaraja,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.405863,10.783679,56.0
S00842,Zashako,Village,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.395016,10.873188,110.0
S00871,Zazaba,Hamlet,W010,Fazafa,LGA02,Gwarin,BAN,Bansara,7.458375,10.769674,26.0
S00398,Adlawo,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.445462,10.706556,63.0
S00407,Agmaru,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.358481,10.726668,11.0
S00390,Agsasa,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.387564,10.751497,30.0
S00378,Agzadu,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.388775,10.716853,83.0
S00388,Daladu,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.317467,10.781155,36.0
S00391,Danani,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.254353,10.782416,50.0
S00395,Ekkofa,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.311411,10.795249,66.0
S00403,Ekngofa,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.344049,10.734988,72.0
S00400,Eksana,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.373919,10.642449,14.0
S00405,Enmashi,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.366395,10.70447,20.0
S00383,Entsina,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.380006,10.722819,46.0
S00393,Farawa-Kofar,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.316138,10.753561,10.0
S00401,Gungowa,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.384561,10.679251,130.0
S00374,Gusayi,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.40696,10.703588,81.0
S00372,Haluta-Tudun,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.330119,10.771291,43.0
S00402,Hasayi,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.292573,10.76525,52.0
S00370,Ibluko-Tudun,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.295342,10.767153,46.0
S00385,Ibluwo,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.319853,10.714427,14.0
S00392,Jidule,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.298727,10.751518,3.0
S00406,Katside,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.394495,10.708852,34.0
S00373,Loduwo,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.326681,10.759976,59.0
S00381,Lorako,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.288424,10.783261,41.0
S00399,Matiyi,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.301942,10.773115,18.0
S00387,Nusadu,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.309335,10.648819,57.0
S00389,Nuyole,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.283536,10.749702,132.0
S00394,Olbana-Tsakiya,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.358284,10.704053,134.0
S00377,Olduyi-Kudu,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.327723,10.781233,10.0
S00369,Oljina,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.379273,10.710231,9.0
S00380,Olriri,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.375874,10.715545,79.0
S00396,Olrishi,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.307783,10.753534,62.0
S00371,Ririyi,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.326621,10.738177,13.0
S00404,Sakosa,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.408979,10.720991,35.0
S00379,Suzawo,Settlement,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.423321,10.736466,36.0
S00382,Tatidu,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.329622,10.77502,61.0
S00397,Uzjimi,Village,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.386267,10.733516,108.0
S00384,Yemani,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.316643,10.770062,8.0
S00376,Yerita,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.338132,10.775844,25.0
S00386,Yezatu,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.388505,10.719992,10.0
S00375,Zajina,Hamlet,W005,Jijile,LGA02,Gwarin,BAN,Bansara,7.31031,10.76456,7.0
S00966,Adrale,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.494484,10.548834,61.0
S00957,Adsako,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.501046,10.667574,62.0
S00971,Agtisa,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.45308,10.677865,71.0
S00993,Badudu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.511989,10.556693,23.0
S00970,Bangotu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.411096,10.619356,22.0
S00954,Bibedu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.5276,10.671773,36.0
S00955,Datina,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.459062,10.56483,32.0
S00974,Dazashi,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.46127,10.507365,25.0
S00959,Dodetu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.49633,10.537451,30.0
S00953,Dolule-Tsakiya,Settlement,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.474932,10.579228,25.0
S00967,Ekjimi,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.500367,10.566747,63.0
S00976,Ekyoni,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.513388,10.663949,100.0
S00963,Enbewa-Tsakiya,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.394855,10.601069,26.0
S00984,Enlawo-Tudun,Settlement,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.523375,10.642406,43.0
S00958,Fatima-Kudu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.483686,10.559731,17.0
S00965,Fatsiwa,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.502212,10.552474,109.0
S00995,Gubale,Urban block,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.591148989856912,10.537226,210.0
S00994,Gushatu,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.480336,10.56305,56.0
S00992,Gutsitu-Kudu,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.498323,10.546917,18.0
S00988,Ibtsina,Village,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.495505,10.585959,110.0
S00991,Irduja,Settlement,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.448425,10.555048,88.0
S00956,Irjiba-Yamma,Hamlet,W013,Sashako,LGA02,Gwarin,BAN,Bansara,7.486592,10.53248,45.0
